science contests,1,SE,12-Sep,,,,,,,,,,,,,,,,,,,
love to learn,1,A,K-3,,,,,,,,,,,,,,,,,,,
personal safety,1,SM+,K-3,,,,,,,,,,,,,,,,,,,
3,1,SM,"4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
grade 9 biology,1,ST,12-Sep,,,,,,,,,,,,,,,,,,,
linear algebra,1,M,"9-12, noK12",,,,,,,,,,,,,,,,,,,
classical civilisation,1,A+,"7-8, 9-12",,,,,,,,,,,,,,,,,,,
thinking skills,1,A+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
food processing,1,+,noK12,,,,,,,,,,,,,,,,,,,
hands on,1,A,K-3,,,,,,,,,,,,,,,,,,,
base 10,1,SM+,K-3,,,,,,,,,,,,,,,,,,,
cross curricular,1,STE,"7-8, 9-12",,,,,,,,,,,,,,,,,,,
mathemicas,1,STEAM+,"K-3, 4-6",,,,,,,,,,,,,,,,,,,
university instruction,1,+,noK12,,,,,,,,,,,,,,,,,,,
time management,1,A+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
cross curriculum,1,A+,12-Sep,,,,,,,,,,,,,,,,,,,
robots,1,TE,"4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
human biology,1,S,noK12,,,,,,,,,,,,,,,,,,,
app inventor,1,T,12-Sep,,,,,,,,,,,,,,,,,,,
minecraftedu,1,T,K-3,,,,,,,,,,,,,,,,,,,
startup,1,STEAM+,K-3,,,,,,,,,,,,,,,,,,,
0,1,M,noK12,,,,,,,,,,,,,,,,,,,
feedback,1,+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
#dentistry,1,S,noK12,,,,,,,,,,,,,,,,,,,
mysql,1,STE+,noK12,,,,,,,,,,,,,,,,,,,
transducer engineering,1,E,12-Sep,,,,,,,,,,,,,,,,,,,
grade 6,1,M,06-Apr,,,,,,,,,,,,,,,,,,,
local geography,1,SAM+,"4-6, 7-8",,,,,,,,,,,,,,,,,,,
resilience topics,1,SA+,noK12,,,,,,,,,,,,,,,,,,,
philippine cultures,1,T+,noK12,,,,,,,,,,,,,,,,,,,
contemporary art,1,A,noK12,,,,,,,,,,,,,,,,,,,
#waterresources,1,STEA+,noK12,,,,,,,,,,,,,,,,,,,
small active cute,1,+,K-3,,,,,,,,,,,,,,,,,,,
virtual instrumentation,1,E,12-Sep,,,,,,,,,,,,,,,,,,,
water cycle,1,STEAM,"K-3, 4-6, 7-8",,,,,,,,,,,,,,,,,,,
